tag,actual_dist
updateIdentAndStatusSection,1
updateStatus,2
usableOnCodeAssy,6
usableOnCodeEquip,6
usage,8
validate,0
valueAfterAction,6
variable,4
variableDeclarations,3
variablePostSet,6
variablePreSet,2
variableRef,2
verbatimText,4
viewLocation,7
voltage,6
wallThickness,6
warning,4
warningAndCautionPara,5
warningIdent,6
warningMalfunction,7
warningMalfunctionAlts,6
warningRef,3
warningRepository,3
warningSpec,5
warningsAndCautions,2
warningsAndCautionsRef,2
webcgm,0
wire,5
wireAlts,4
wireCode,7
wireColor,7
wireConnection,6
wireConnectionCode,9
wireGauge,8
wireGroup,3
wireIdent,6
wireInfo,6
wireInstallationCode,8
wireMaterial,5
wireMaterialGroup,4
wireNumber,7
wireRoute,7
wireSeqNumber,7
wireType,8
wiringData,2
wiringFields,2
wiringPossibleCause,5
wiringPossibleCauseFrom,6
wiringPossibleCauseTo,6
workArea,7
workAreaLocationGroup,5
workLocation,6
yesAnswer,10
yesNoAnswer,9
zone,7
zoneAlts,6
zoneGroup,3
zoneIdent,6
zoneRef,7
zoneRefGroup,8
zoneRepository,3
zoneSide,8
zoneSpec,5
